hs_code,chapter,parent_4,parent_6,product_name_ar,product_name_en,regulation_id,regulation_name_ar,certification_key,scraped_from
251400100000,25,2514,251400,ـ ـ ـ خاماً بشكل كتل منشورة,Raw stone in sawn blocks,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251400900001,25,2514,251400,إردواز بشكل مربع,Slate in square shape,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251400900002,25,2514,251400,إردواز بشكل مستطيل,Slate in rectangular shape,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251511000001,25,2515,251511,رخام خام,Raw marble,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251511000002,25,2515,251511,رخام مشذب بصورة غير منتظمة,Marble roughly trimmed irregularly,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251511000003,25,2515,251511,ترافرتين خام,Raw travertine,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251511000004,25,2515,251511,ترافرتين مشذب بصوره غير منتظمه,Travertine roughly trimmed irregularly,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251512000001,25,2515,251512,رخام مقطعة تقطيع بسيط على شكل مربع بالنشر,Marble simply cut in square blocks by sawing,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251512000002,25,2515,251512,رخام مقطعة تقطيع بسيط على شكل مستطيل بالنشر,Marble simply cut in rectangular blocks by sawing,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251512000003,25,2515,251512,ترافرتين مقطعة تقطيع بسيط على شكل مربع بالنشر,Travertine simply cut in square blocks by sawing,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251512000004,25,2515,251512,ترافرتين مقطعة تقطيع بسيط على شكل مستطيل بالنشر,Travertine simply cut in rectangular blocks by sawing,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251520100001,25,2515,251520,ايكوسين   خام,Raw eocene,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
251520100002,25,2515,251520,ايكوسين مشذب بصورة غير منتظمة,Eocene roughly trimmed irregularly,REG-056,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,saber_coc_or_qm,PCoC|QM
