code,level,description_ar_derived,child_count,regulation_ids
2514,4,خاماً بشكل كتل منشورة,3,REG-056
2515,4,رخام خام,16,REG-056
2516,4,جرانيت خام,23,REG-056
2517,4,حصى ء مجروشة للخرسانة,6,
2520,4,جبس سائب,6,
2521,4,حجر جيري(كلسي)مساعد للصهر (فلكس),3,
2522,4,كلس حي سائب,6,
2523,4,اسمنت  بورتلاند ابيض سائب,10,
2609,4,"خامات ""ستانيت"" بيريت القصدير (كبريتيد القصدير والنحاس والحديد)",2,
2620,4,رواسب المدخرات( البطاريات),1,REG-030
2710,4,غيرها,102,REG-017
2713,4,بقايا من زيوت معدنية,2,REG-017
2805,4,كالسيوم (يحتوي على أقل من 1000 جزء في المليون من وزنه من الشوائب المعدنية بخلاف المغنسيوم وأقل من 10 أجزاء في المليون من وزنه من البورون),2,
2825,4,هيدروكسيد الكالسيوم,1,
2828,4,هيبو كلوريت الصوديوم,1,REG-048
2834,4,نترات النحاس,1,
2849,4,غيرها,7,
2903,4,ثاني كلوريد الايثيلين (ايزو) (1 ، 2 ـ ثاني كلورو إيثان ) .,1,
2909,4,عشاري برومو ثنائي فينيل الإيثر,2,
2913,4,مشتقات مهلجنة أو مسلفنة أو منترنة أو منترزة من المنتجات الداخلة في البند 29.12.,1,
2915,4,خلات الصوديوم,13,
2918,4,حمض جليوكوهيبتونيك وأملاحه,4,
2922,4,غيرها,1,
2930,4,"(-) ميثيل فسفونوثيولات(إيثيل بنزين امونيوم-s( N-ثنائي ميثيل بروبيل -2,1",9,
2931,4,غيرها,12,
2933,4,غيرها,1,
3204,4,أصباغ مبددة ومحضرات أساسها هذه الأصباغ,9,REG-002
3205,4,لك الخشب,3,REG-002
3206,4,"""ـ ـ تحتوي على 80% أو أكثر وزناً من ثاني أوكسيد التيتانيوم، محسوباً على المادة الجافة""",7,REG-002
3207,4,ألوان سطحية ومعتمات محضرة وألوان محضرة ومحضرات مماثله,2,REG-002
3208,4,ورنيش,13,REG-002
3209,4,ورنيش,9,REG-002
3212,4,معجون المنيوم يحتوي على أي مادة مذكورة ضمن قائمة المواد الخطرة المرفقة (ملحق 1).,1,REG-002
3214,4,معاجين الحشو لإعداد الأسطح للطلاء بتسوية البروزات وحشو الشقوق والثقوب ويوضع عليها الطلاء بعد جفافها وصقلها,3,REG-058
3307,4,الورق المعطر,1,REG-049
3401,4,غيرها,8,REG-048
3402,4,غيرها,11,REG-048
3403,4,محضرات التشحيم المعدة لتخفيف الاحتكاك,8,REG-017
3405,4,محضرات تلميع ومعاجين ومحضرات مماثلة للأحذية أو الجلد,6,REG-048
3407,4,معاجين لصنع النماذج لتسلية الأطفال,1,REG-036
3501,4,غراء الجبنين,1,
3503,4,غيره,1,
3505,4,من الدكسترين,4,
3506,4,"""ـ منتجات صالحة للاستعمال كغراء أو كمواد لاصقة، مهيأة للبيع بالتجزئة كغراء أو كمواد لاصقة، لا يتجاوز وزنها الصافي 1 كلج""",4,
3604,4,خاصة بالمهرجانات والاحتفالات,2,REG-066
3606,4,وقود سائل وغاز وقود مسيل في عبوات من الأنواع المستعملة لتعبئة أو إعادة تعبئة قداحات السجائر أو الولاعات المماثلة لا تتجاوز سعتها 300سم3,1,REG-026
3703,4,لفائف يزيد عرضها عن 610مم,3,REG-049
3704,4,ألواح للتصوير الفوتوغرافي، مصورة لكن غير مظهرة,5,REG-049
3806,4,صموغ أستريه,2,
3809,4,محضرات تثبيت كي الملابس (مثل مريتوالخ),2,REG-048
3810,4,محضرات لتنظيف سطح المعادن قبل طلائها ؛ مساحيق وعجائن مركبة من معادن ومواد أخر للحام المعادن,2,REG-048
3812,4,غيرها,1,
3813,4,تحتوي على بروموكلورو ثاني فلوروميثان أو بروموثالث فلوروميثان أو ثاني برومو رابع فلورو ايثانات,5,REG-062
3814,4,تنر تخفيف دهانات,5,REG-002
3815,4,مسارعات (محفزات) بلاتينية مصمّمة خصيصاً أو مُعَدّة لاستخلاص التريتيوم من الماء الثقيل أو لإنتاجه,2,
3816,4,اسمنت حراري,6,
3819,4,سوائل الفرامل الهيدروليكية ، لا تحتوي على زيوت نفط ولا على زيوت معدنية قارية أو تحتوي على أقل من 70% وزناً من هذه الزيوت,2,REG-017
3820,4,محضرات مضادة للتجمد,2,REG-023
3823,4,غيرها,1,
3824,4,محضرات تضاف للاسمنت أو الملاط أو الخرسانة,6,REG-023
3907,4,راتنجات أيبوكسيدية,2,REG-058
3909,4,بولي يوريثانات,1,REG-058
3917,4,أنابيب صلبة من بوليمرات الإيثيلين,18,REG-055|REG-060
3918,4,أغطية أرضيات من بوليمرات كلوريد الفينيل ، وإن كانت لاصقة ذاتياً ، بشكل لفائف أو ترابيع أوبلاط,4,REG-056|REG-058
3919,4,لفات لا يتجاوز عرضها 20 سم,3,
3920,4,من بوليمرات الإيثيلين,18,REG-058|REG-060
3921,4,من بوليمرات ستيرين,6,REG-058
3922,4,مغاطس,8,REG-056
3923,4,غيرها,17,REG-046
3924,4,أوعية لحفظ الثلج,18,REG-060
3925,4,صهاريج وخزانات ودنان وأوعية مماثلة تتجاوز سعتها 300 لتر,12,REG-025|REG-055|REG-056
3926,4,للحافلات,11,REG-047|REG-053
4008,4,ألواح من مطاط خلوي مبركن ، عدا المطاط المقسى .,6,REG-058
4009,4,غيرها,33,REG-055|REG-062
4010,4,سيور نقل حركة بدون نهايات (مقفلة) ذات مقطع عرضي شبه منحرف (  بشكل حرف V) ،  محززة   ، يزيد طول محيطها  الخارجي عن 60 سم ولكن لا يتجاوز 180  سم,6,REG-023
4011,4,إطارات خارجية هوائية جديدة، من مطاط للسيارات السياحية وسيارات الاستيشن,10,REG_TIRES
4015,4,لإطفاء الحرائق,12,REG-053|REG-059
4016,4,حلقات وفواصل ( جوانات ) للمركبات ، من مطاط مبركن غير مقسي ، غير خلوي .,1,REG-023
4101,4,صلال وجلود  كاملة، غير مشطورة لا يتجاوز وزن الجلد الواحد منها 8 كغم إذا كان جافاً أو 10 كغم إذا كان مملحاً وهو جاف أو 16 كغم إذا كان طرياً أو مملحاً وهو رطب أو محفوظاً بطريقة أُخرى,3,REG-059
4104,4,جانب الجلد الخارجي بكاملة وان كان مشطوراً,4,REG-059
4106,4,بحالتها الرطبة(بما فيها المرطبة بالصبغ الأزرق),4,REG-059
4107,4,الجلد الخارجي مشطوراً,6,REG-059
4112,4,"""جلود مهيأة أكثر بعد الدباغة أو التجفيف، بما فيها الجلود المرققة (بارشمان)، من خراف أو ضأن، منتوفة، وان كانت مشطورة، عدا الجلود الداخلة في البند4114""",1,REG-059
4113,4,من ماعز أو صغارها,3,REG-059
