code,kind,name_en,name_ar,summary,pdf_link,estimated_cost,estimated_time,required_documents,step_by_step_guide,issuing_authorities,notes,estimated_cost_ar,estimated_time_ar,required_documents_ar,step_by_step_guide_ar,issuing_authorities_ar,notes_ar
REG-001,regulation,,اللائحة الفنية لإجراءات تسجيل البيانات وإصدار بطاقة كفاءة استهلاك الطاقة في المركبات والإطارات,"This procedural technical regulation (م.إ-155-16-10-01-01), published March 2022, establishes the data registration procedures and licensing requirements for issuing the Energy Consumption Efficiency Card (energy label) for vehicles and tires in Saudi Arabia. It covers: registration of accredited laboratories to issue test reports (2-year license); licensing conditions for establishments to use the energy label (12-month license per model); application steps including submission of Gulf conformity certificates and accredited test reports; vehicle manufacturer supply plan registration; fees (2,000 SAR per tire model, 5,000 SAR per vehicle model, 15,000–150,000 SAR for supply plans); violations and penalties administered by the Ministry of Commerce; and market surveillance by SASO and Ministry of Commerce. No HS code annex is included in this regulation.

---",,,,,,,,,,,,,
REG-002,regulation,Technical Regulation for Paints and Varnishes,اللائحة الفنية للدهانات (الأصباغ) والورنيشات,"This technical regulation (Second Edition, Amendment 2, published in Official Gazette on 04/11/2022) governs paints (pigments) and varnishes used in residential, commercial and public buildings in Saudi Arabia. It establishes mandatory requirements covering: environmental performance classification (VOC content limits, prohibition/limits on heavy metals, aromatic hydrocarbons, halogenated hydrocarbons and formaldehyde); packaging requirements (no lead/heavy metals, recycling symbol, tamper-proof); metrology requirements (SI units, GSO OIML R 87); and comprehensive labeling requirements. Suppliers must obtain a conformity certificate through Type 3 assessment per ISO/IEC 17067 from a SASO-accepted CAB, issue a Supplier Declaration of Conformity, maintain a 10-year technical file, and obtain a separate SASO license to use the Environmental Performance Efficiency Label. Regulatory authorities at customs ports and factories conduct document verification and random sampling; market surveillance authorities monitor the market and enforce compliance. Non-compliance can result in product withdrawal, recall, and penalties under the Anti-Commercial Fraud Law. Environmental performance classification requirements have a 2-year grace period from regulation approval date.

---",,,,,,,,,,,,,
REG-003,regulation,Gulf Technical Regulation for Low Voltage Electrical Appliances and Equipment – List (2),اللائحة الفنية الخليجية للأجهزة والمعدات الكهربائية منخفضة الجهد – القائمة (2),"TC143307-01 is the Gulf Technical Regulation for Low Voltage Electrical Devices and Equipment – List (2), issued by GSO on 06 August 2014. This document enumerates 13 categories of domestic electrical appliances (with corresponding HS codes) that are subject to the conformity assessment procedure defined in Annex 4 of the parent regulation under Article 20. Products covered include fans, refrigerators, washing machines, food processors, toasters, hair dryers, heating apparatus, microwave ovens, electric ovens, water heaters, electric irons, plugs/sockets/chargers, and air conditioners.

---",,,,,,,,,,,,,
REG-004,regulation,,اللائحة العامة لعلامة الجودة السعودية,"This is the General Regulation for the Saudi Quality Mark (4th edition, approved January 2023, published March 2023). It is an administrative/procedural regulation issued by SASO that establishes the general rules, conditions, and procedures for granting, maintaining, expanding, renewing, suspending, withdrawing, and cancelling licenses to use the Saudi Quality Mark on products. The regulation does not cover specific product categories or HS codes - it serves as the overarching framework applicable to all products for which specific granting procedures (إجراء المنح) are developed. The Quality Mark is exclusively owned by SASO (trademark registration no. 143205020). The certification scheme follows ISO/IEC 17065 requirements. A three-year renewable license is granted following initial audit and product testing. Ongoing surveillance includes periodic audits and random market sampling. Two oversight committees are established: the Neutrality Committee (advisory, meeting at least annually) and the Review and Decision Committee (operational decision-making). Financial costs include application fees (SAR 3,000), document review (SAR 2,500/person-day), auditing (SAR 3,000/auditor-day), quality mark usage rights (SAR 15,000-25,000 for optional products; SAR 15,000 for mandatory products), plus travel, accommodation, and testing costs borne by the applicant facility.

---",,,,,,,,,,,,,
REG-005,regulation,General Technical Regulation for Energy Efficiency,اللائحة الفنية العامة لكفاءة استهلاك الطاقة,"The General Technical Regulation for Energy Efficiency (م.إ-٠٥-٠٤-١٦-١٥٦), first issued in 2016 and last amended in October 2023, establishes mandatory energy efficiency requirements for products approved by the SASO Board of Directors. Currently covering 13 product categories (air conditioners, refrigerators/freezers, washing machines, lighting products parts 1-3, electric motors, new vehicle fuel economy, tyres, clothes dryers, water heaters, and dishwashers), the regulation requires suppliers to obtain a model energy efficiency certificate (Type 1a per ISO/IEC 17067) and an energy label use license from SASO or an accepted body. Suppliers must submit test reports from SASO-registered ISO 17025 laboratories, a Supplier Declaration of Conformity, technical files, and evidence of an effective quality management system. Certificates and licenses are valid for one year and renewable. Market surveillance authorities and regulatory bodies may conduct random product sampling. Non-compliant products are subject to withdrawal, recall, and penalties under anti-commercial fraud regulations.

---",,,,,,,,,,,,,
REG-006,regulation,,اللائحة العامة لنماذج المطابقة,"The General Regulation for Conformity Models (م.إ-٠٣-٠١-٠٥-٢٣-١٩٤-٠٣) is a SASO framework regulation approved on 28 September 2023 and published in the Official Gazette on 17 November 2023. It does not apply to a specific product category but rather defines the standardized conformity assessment models to be referenced by all SASO product-specific technical regulations. The regulation establishes eight conformity models: three first-party self-declaration models (Type S, S1, S2) and five third-party certification models (Type 1a Type Approval, Type 1b Shipment Conformity, Type 2 Market Product Conformity, Type 3 Production Process Conformity, Type 4 Production Process + Market Sampling, Type 5 Full Quality Assurance). It is based on ISO/IEC 17067 and aligns with WTO TBT Agreement principles. Type 5 is equivalent to the Saudi Quality Mark license and requires ISO 9001 QMS compliance. All models require a Supplier Declaration of Conformity and technical documentation retained for 10 years.

---",,,,,,,,,,,,,
REG-007,regulation,Technical Regulation for Communications and Information Technology Devices,اللائحة الفنية لأجهزة الاتصالات وتقنية المعلومات,"This technical regulation, issued by SASO in coordination with the Communications, Space and Technology Commission (CITC), establishes mandatory requirements for all communications and information technology devices in Saudi Arabia (excluding military and security devices). It covers a broad range of ICT equipment including smartphones, tablets, laptops, base stations, satellite terminals, maritime/aviation communications, radar, broadcasting equipment, and more. Suppliers must ensure devices meet essential and technical requirements including electrical safety, electromagnetic compatibility, radiation exposure limits, frequency spectrum protection, and network interoperability. All devices require Type 1a conformity assessment (type approval) by an accepted CAB per ISO/IEC 17067. Products listed in Annex 3 (mobile phones, laptops, smart watches, TVs, gaming equipment, charging cables, desktop PCs) additionally require IECEE NCB certificates. Annex 2 mandates USB Type-C standardization for chargers of smartphones and electronic devices by January 2025, and laptops by April 2026. Labeling must be in Arabic and include supplier/manufacturer information, model, country of origin, usage warnings, and frequency band information for wireless devices. Violations are subject to penalties under the Anti-Commercial Fraud Law and CITC regulations.

---",,,,,,,,,,,,,
REG-008,regulation,"Technical Regulation for Amusement Parks, Games and Devices",اللائحة الفنية لأجهزة وألعاب المدن الترفيهية,"This Technical Regulation (ID: م.إ-١٦٥-١٨-٠٤-٠٢), approved in 2018 and amended in 2023, establishes mandatory safety and operational requirements for amusement rides, devices, and games installed permanently or temporarily in amusement parks in Saudi Arabia. It covers design, manufacture, installation, operation, maintenance, and inspection. The regulation applies to products under HS codes 8903, 9504, 9506, and 9508. Conformity assessment follows Type 3 per ISO/IEC 17067, requiring a certified Product Safety Management System and Type Approval from an accepted body, plus a mandatory inspection certificate from an ISO 17020-accredited inspection body before public use. Inspection certificates are renewed annually for devices and every 3 years for rides. Key obligations are imposed on suppliers, device/city owners, city management, and safety officers. Twenty-nine referenced Saudi standards cover all product sub-types including playground equipment, water slides, inflatable equipment, go-karts, bumper boats, trampoline courts, and climbing structures. The regulation does not apply to ice cities, snow vehicles, or ice-skating games.

---",,,,,,,,,,,,,
REG-009,regulation,Technical Regulation for Water Efficiency Products,اللائحة الفنية لأدوات ترشيد استهلاك المياه,"This technical regulation issued by SASO (regulation ID م.إ-١٥٦-١٦-٠٤-٠٦, first edition with amendment 1, published 2020) establishes mandatory water efficiency requirements for water-saving plumbing products sold in Saudi Arabia, including taps/mixers (public, private/kitchen, shower, bidet/shattaf), western and eastern flush toilets, urinals, flow regulators, and flushing cisterns. Products must meet maximum flow rate limits specified in Annex 1 and must carry the SASO Water Efficiency Label. Conformity is assessed via Type 1a (Type Approval) per ISO/IEC 17067, requiring submission of a technical file with laboratory test reports (from ISO/IEC 17025 accredited laboratories) and a Supplier Declaration of Conformity to SASO or an accepted body. A Water Efficiency Type Certificate and a separate label use license are issued, both valid for one year and renewable. Referenced standards include SASO 1473, SASO 1257, SASO 1477, SASO EN 246, SASO 2655, and NSF 61 (reference only). Non-compliant products are subject to withdrawal, recall, and penalties under the Commercial Fraud regulations.

---",,,,,,,,,,,,,
REG-010,regulation,Technical Regulation for Electric Personal Mobility Devices (Scooter),اللائحة الفنية لوسائل التنقل الفردية الكهربائية (السكوتر),"This is the second edition of the SASO Technical Regulation for Electric Personal Mobility Devices (Scooters), approved by the SASO Board of Directors in September 2023 and published in the Official Gazette in October 2023. It applies to electric personal mobility scooters, their batteries, and chargers. The regulation mandates compliance with 12 referenced SASO/ISO/IEC standards covering electrical safety, battery safety, and charging equipment. Key requirements include: maximum speed of 25 km/h, mandatory front/rear lights and brakes, reflectors, audible warning device, instruction manual with safety warnings, and an effective quality management system at the manufacturer. Conformity is assessed via Type 3 per ISO/IEC 17067, requiring certification from a SASO-accepted body through factory audits and product safety management system approval. Suppliers must maintain a technical file including a risk assessment and Supplier Declaration of Conformity for at least 10 years. Scooters classified as toys must also comply with the Gulf Toys Regulation. The regulation includes provisions for market surveillance, violations, penalties, and transitional periods of 180 days for application and 365 days for suppliers to correct market status.

---",,,,,,,,,,,,,
