HS Code,Product Name,Technical Regulation,Certificates,Additional,Scraped_From,requirements_codes
251400100000,ـ ـ ـ خاماً بشكل كتل منشورة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251400900001,إردواز بشكل مربع,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251400900002,إردواز بشكل مستطيل,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251511000001,رخام خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251511000002,رخام مشذب بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251511000003,ترافرتين خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251511000004,ترافرتين مشذب بصوره غير منتظمه,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251512000001,رخام مقطعة تقطيع بسيط على شكل مربع بالنشر,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251512000002,رخام مقطعة تقطيع بسيط على شكل مستطيل بالنشر,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251512000003,ترافرتين مقطعة تقطيع بسيط على شكل مربع بالنشر,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251512000004,ترافرتين مقطعة تقطيع بسيط على شكل مستطيل بالنشر,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520100001,ايكوسين   خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520100002,ايكوسين مشذب بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520100003,أحجار خام  كلسية أخر للنحت أو البناء (مرمر),اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520100004,"احجار كلسيه اخر للنحت او البناء "" مرمر"" مشذب بصوره غير منتظمه",اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520200001,ايكوسين  مقطعة تقطيع بسيط على شكل مربع,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520200002,ايكوسين  مقطعة تقطيع بسيط على شكل مستطيل,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520200003,أحجار كلسية أخر للنحت أو البناء (مرمر) مقطعة تقطيع بسيط على شكل مربع,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251520200004,أحجار كلسية أخر للنحت أو البناء (مرمر) مشذب بصورة غير منتظمة تقطيع بسيط على شكل مستطيل,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251611000001,جرانيت خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251611000002,جرانيت مشذب بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251611000003,حجر سماقي (بورفير) خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251611000004,حجر سماقي (بورفير) مشذب بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251612000001,جرانيت مقطعة تقطيعاً بسيطاً على شكل كتل مربع,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251612000002,جرانيت مقطعة تقطيعاً بسيطاً على شكل كتل مستطيل,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251612000003,جرانيت مقطعة تقطيعاً بسيطاً على شكل ألواح  مربعه,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251612000004,جرانيت مقطعة تقطيعاً بسيطاً على شكل ألواح مستطيله,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251620000001,حجر رملي خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251620000002,حجر رملي على شكل كتل مشذبة بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251690100001,بازلت خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251690100002,بازلت مشذبا بصورة غير منتظمة,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
251690100003,سيانيت خام,اللائحة الفنية لمواد البناء - الجزء الرابع الطوب والبلاط والسيراميك والأدوات الصحية,"شهادة علامة الجودة (QM)
أو شهادة مطابقة منتج (COC)",,PCoC|QM,REG-056|QM-COC
